,l,hex,y,rgb,r,g,b,hsv,hue,sat,val
71,0.801942435,#EAC3AE,4,"(234, 195, 174)",0.9176470588235294,0.7647058823529411,0.6823529411764706,"(0.05833333333333329, 0.25641025641025633, 0.9176470588235294)",0.05833333333333329,0.25641025641025633,0.9176470588235294
72,0.706224401,#D6AD91,4,"(214, 173, 145)",0.8392156862745098,0.6784313725490196,0.5686274509803921,"(0.06763285024154592, 0.3224299065420561, 0.8392156862745098)",0.06763285024154592,0.3224299065420561,0.8392156862745098
73,0.700057333,#DCA087,1,"(220, 160, 135)",0.8627450980392157,0.6274509803921569,0.5294117647058824,"(0.04901960784313725, 0.3863636363636364, 0.8627450980392157)",0.04901960784313725,0.3863636363636364,0.8627450980392157
74,0.739542484,#E1B297,4,"(225, 178, 151)",0.8823529411764706,0.6980392156862745,0.592156862745098,"(0.0608108108108108, 0.32888888888888884, 0.8823529411764706)",0.0608108108108108,0.32888888888888884,0.8823529411764706
75,0.684375973,#D6AE86,3,"(214, 174, 134)",0.8392156862745098,0.6823529411764706,0.5254901960784314,"(0.08333333333333333, 0.37383177570093457, 0.8392156862745098)",0.08333333333333333,0.37383177570093457,0.8392156862745098
76,0.731652661,#D6B79E,4,"(214, 183, 158)",0.8392156862745098,0.7176470588235294,0.6196078431372549,"(0.0744047619047619, 0.2616822429906542, 0.8392156862745098)",0.0744047619047619,0.2616822429906542,0.8392156862745098
77,0.817217931,#DFCCC0,4,"(223, 204, 192)",0.8745098039215686,0.8,0.7529411764705882,"(0.06451612903225813, 0.13901345291479822, 0.8745098039215686)",0.06451612903225813,0.13901345291479822,0.8745098039215686
78,0.77739331,#E0C1AC,3,"(224, 193, 172)",0.8784313725490196,0.7568627450980392,0.6745098039215687,"(0.06730769230769228, 0.23214285714285707, 0.8784313725490196)",0.06730769230769228,0.23214285714285707,0.8784313725490196
79,0.593333333,#BD8F70,1,"(189, 143, 112)",0.7411764705882353,0.5607843137254902,0.4392156862745098,"(0.0670995670995671, 0.40740740740740744, 0.7411764705882353)",0.0670995670995671,0.40740740740740744,0.7411764705882353
80,0.649859944,#CA9A81,1,"(202, 154, 129)",0.792156862745098,0.6039215686274509,0.5058823529411764,"(0.057077625570776246, 0.3613861386138614, 0.792156862745098)",0.057077625570776246,0.3613861386138614,0.792156862745098
81,0.724420677,#D2B59F,3,"(210, 181, 159)",0.8235294117647058,0.7098039215686275,0.6235294117647059,"(0.07189542483660134, 0.24285714285714283, 0.8235294117647058)",0.07189542483660134,0.24285714285714283,0.8235294117647058
82,0.560980392,#C87955,1,"(200, 121, 85)",0.7843137254901961,0.4745098039215686,0.3333333333333333,"(0.05217391304347826, 0.5750000000000001, 0.7843137254901961)",0.05217391304347826,0.5750000000000001,0.7843137254901961
83,0.504396203,#AE7B52,1,"(174, 123, 82)",0.6823529411764706,0.4823529411764706,0.3215686274509804,"(0.07427536231884058, 0.5287356321839081, 0.6823529411764706)",0.07427536231884058,0.5287356321839081,0.6823529411764706
84,0.326855742,#6B413B,1,"(107, 65, 59)",0.4196078431372549,0.2549019607843137,0.23137254901960785,"(0.020833333333333315, 0.4485981308411215, 0.4196078431372549)",0.020833333333333315,0.4485981308411215,0.4196078431372549
85,0.675980392,#CBA78D,4,"(203, 167, 141)",0.796078431372549,0.6549019607843137,0.5529411764705883,"(0.06989247311827958, 0.30541871921182256, 0.796078431372549)",0.06989247311827958,0.30541871921182256,0.796078431372549
86,0.66,#D3A87D,3,"(211, 168, 125)",0.8274509803921568,0.6588235294117647,0.49019607843137253,"(0.08333333333333333, 0.4075829383886256, 0.8274509803921568)",0.08333333333333333,0.4075829383886256,0.8274509803921568
87,0.635947712,#D29F72,1,"(210, 159, 114)",0.8235294117647058,0.6235294117647059,0.4470588235294118,"(0.078125, 0.4571428571428571, 0.8235294117647058)",0.078125,0.4571428571428571,0.8235294117647058
88,0.606078431,#BF9475,2,"(191, 148, 117)",0.7490196078431373,0.5803921568627451,0.4588235294117647,"(0.06981981981981984, 0.387434554973822, 0.7490196078431373)",0.06981981981981984,0.387434554973822,0.7490196078431373
89,0.558371041,#C77955,1,"(199, 121, 85)",0.7803921568627451,0.4745098039215686,0.3333333333333333,"(0.05263157894736842, 0.5728643216080402, 0.7803921568627451)",0.05263157894736842,0.5728643216080402,0.7803921568627451
